observation,target,output
1,0.552238404750824,0.1566971391439438
2,0.24579843878746033,-0.3982834815979004
3,0.824629545211792,-0.23594744503498077
4,1.3183386325836182,0.28880396485328674
5,-1.3204509019851685,-0.41881710290908813
6,-0.6224485039710999,0.08523299545049667
7,-0.5543506741523743,0.49680954217910767
8,-0.5203018188476562,0.1962774246931076
9,1.1310697793960571,1.405197024345398
10,0.22877399623394012,0.8078011870384216
11,-0.06064175069332123,0.4511491358280182
12,-0.5883996486663818,-0.2970237731933594
13,-1.5928421020507812,-0.5152113437652588
14,1.8460966348648071,-0.5817556381225586
15,-0.11171504855155945,-0.01434755977243185
16,1.6758519411087036,0.3269751965999603
17,1.2502408027648926,0.6023258566856384
18,-0.9118641018867493,-0.5688787698745728
19,-1.031035304069519,-0.509232759475708
20,0.2117493599653244,-0.7040223479270935
21,-0.9629374742507935,-0.5226129293441772
22,0.9608252048492432,-0.11326688528060913
23,1.0289229154586792,-0.5587143301963806
24,-0.35005730390548706,-0.2439740151166916
25,0.31389614939689636,0.5425313711166382
26,1.0970208644866943,0.7660274505615234
27,-1.0140109062194824,-0.9524057507514954
28,-1.5928421020507812,-0.8784195780754089
29,0.007456078659743071,-1.0724388360977173
30,-1.031035304069519,-0.5525341033935547
31,-1.5928421020507812,-0.772602915763855
32,0.45009180903434753,0.6862061023712158
33,0.27984729409217834,0.6474390625953674
34,1.658827543258667,1.1028982400894165
35,0.2117493599653244,0.08608697354793549
36,-0.31600844860076904,0.577896773815155
37,-1.5928421020507812,-1.1289010047912598
38,1.114045262336731,0.041550345718860626
39,0.6203361749649048,0.7198486328125
40,0.024480510503053665,0.09140131622552872
41,1.5056076049804688,1.4405491352081299
42,-0.23088617622852325,0.7364829778671265
43,0.09257834404706955,1.0914520025253296
44,1.0459473133087158,0.10599273443222046
45,0.45009180903434753,0.47744908928871155
46,0.6884340643882751,0.7651810050010681
47,2.476001501083374,1.4249762296676636
48,1.9312187433242798,1.746664047241211
49,0.07555390894412994,0.6367724537849426
50,1.4545341730117798,0.969308078289032
51,0.6543852090835571,0.46314555406570435
