outcome,treatment1,treatment2,treatment3
0.5800684094429016,0.6833581924438477,-0.17656445503234863,-0.10697673261165619
0.5510687828063965,0.6703615784645081,-0.13570848107337952,-0.07819560915231705
1.0056889057159424,0.6988034844398499,-0.19173835217952728,-0.10572301596403122
0.9293424487113953,-0.2882542610168457,-0.1334374099969864,-0.0834575667977333
-1.0314881801605225,0.7002993822097778,-0.10545001924037933,-0.058972109109163284
-0.5504578351974487,0.7310853004455566,-0.27472636103630066,-0.1429596245288849
-1.0273120403289795,0.7169910669326782,-0.24560438096523285,-0.14476266503334045
-0.6649355292320251,-0.23762555420398712,0.7237218618392944,-0.11532872170209885
0.11017024517059326,-0.20639264583587646,0.6845300197601318,-0.13736365735530853
-0.49347954988479614,-0.29668739438056946,0.787140429019928,-0.11503259092569351
-0.5178573131561279,-0.2882785499095917,0.7927533984184265,-0.11524980515241623
-0.2928180694580078,0.7047469019889832,-0.17498624324798584,-0.09650807082653046
-1.1108558177947998,0.7019001245498657,-0.2126525491476059,-0.09822451323270798
2.564470052719116,-0.23124228417873383,0.7124489545822144,-0.13884778320789337
0.01553092896938324,-0.3219517171382904,0.8104106187820435,-0.10791371762752533
1.1870660781860352,-0.2672879695892334,-0.12876053154468536,-0.05421578884124756
0.6302845478057861,-0.21605205535888672,-0.3465442657470703,-0.18112331628799438
-0.37994927167892456,-0.21287481486797333,0.6511968374252319,-0.1826433688402176
-0.5795753598213196,-0.2105380892753601,0.6381935477256775,-0.1817745566368103
0.899681031703949,-0.3207782208919525,-0.19815807044506073,-0.10671950876712799
-0.5355448722839355,-0.31261366605758667,-0.1631743460893631,-0.08980794996023178
1.2204208374023438,0.68263179063797,-0.11187407374382019,-0.06284589320421219
1.5529825687408447,0.7118191123008728,-0.25457990169525146,-0.15221914649009705
-0.2726176083087921,-0.30992591381073,-0.1432194709777832,-0.06801196187734604
-0.31766971945762634,-0.274381160736084,-0.23235008120536804,-0.12199222296476364
0.29515910148620605,-0.209273099899292,-0.33735042810440063,-0.15807244181632996
-0.22414618730545044,-0.2523025572299957,-0.2801019549369812,-0.13928334414958954
-0.8066563606262207,-0.30675557255744934,-0.14403900504112244,-0.0794365257024765
1.002211570739746,-0.2672863006591797,-0.22164973616600037,-0.0850457102060318
-0.5823712944984436,-0.2771262228488922,-0.22949115931987762,-0.1106133982539177
-0.9771899580955505,-0.2726770043373108,-0.22873874008655548,-0.10481216013431549
-0.3574487864971161,-0.27514007687568665,0.7833544611930847,-0.10042226314544678
-0.3577563464641571,-0.19354870915412903,0.6389660835266113,-0.14567218720912933
0.671759843826294,-0.261545866727829,0.7524230480194092,-0.1290288269519806
0.04596450924873352,-0.29101723432540894,-0.19937992095947266,-0.10554422438144684
-0.881921648979187,-0.3202739357948303,-0.1259600818157196,-0.06638322025537491
-0.7661369442939758,-0.24802722036838531,0.7221227884292603,-0.14380815625190735
1.0920519828796387,-0.31588953733444214,-0.1327233612537384,-0.06309061497449875
-0.13332921266555786,-0.3017981946468353,-0.21347872912883759,-0.11430687457323074
-0.14911139011383057,-0.33979612588882446,-0.15385976433753967,-0.09079265594482422
0.24359452724456787,-0.21376119554042816,-0.3519233763217926,-0.16170290112495422
-0.9534884691238403,-0.30833256244659424,-0.11902587860822678,-0.07500678300857544
-0.8272845149040222,0.6976637840270996,-0.19438078999519348,-0.10480502992868423
0.7407592535018921,0.7056219577789307,-0.13431806862354279,-0.06838713586330414
-0.020267635583877563,0.757394015789032,-0.27993056178092957,-0.13102464377880096
-0.13908028602600098,0.7355083227157593,-0.11346643418073654,-0.05527716502547264
1.19663667678833,-0.30762675404548645,-0.09633243083953857,-0.045761074870824814
0.63332200050354,-0.211777001619339,-0.3123334050178528,-0.11414565145969391
-0.49128037691116333,0.718755841255188,-0.22526663541793823,-0.1088477298617363
0.5672177672386169,0.7945935726165771,-0.3600812554359436,-0.15539231896400452
0.016070961952209473,0.7192585468292236,-0.17134246230125427,-0.09075621515512466
0.45793503522872925,0.8088733553886414,-0.39092910289764404,-0.15655043721199036
0.15708307921886444,0.6947000026702881,-0.19002075493335724,-0.09145940840244293
-0.3500404953956604,-0.24371333420276642,0.7224552631378174,-0.10795477032661438
-0.18555298447608948,-0.2024354487657547,0.6486600637435913,-0.1629483699798584
-0.15338793396949768,-0.2622874081134796,0.7344623804092407,-0.15593640506267548
-0.7137205600738525,-0.2571573853492737,0.7651144862174988,-0.10956598818302155
0.09932923316955566,0.725292444229126,-0.17431668937206268,-0.10172029584646225
-0.6544936895370483,0.7496800422668457,-0.24384334683418274,-0.0935712605714798
-0.5280206799507141,0.7289028167724609,-0.12363363057374954,-0.061794575303792953
0.6050115823745728,-0.2948916554450989,-0.15736103057861328,-0.07900799810886383
0.2535889744758606,-0.2205827683210373,-0.3183838129043579,-0.15889421105384827
-0.4093721807003021,-0.21890567243099213,0.6550084352493286,-0.17686894536018372
-0.30359482765197754,-0.2241542935371399,0.6765721440315247,-0.19559451937675476
-0.7585112452507019,0.7200168371200562,-0.17929650843143463,-0.09646385163068771
-0.2990126609802246,0.8111326098442078,-0.3595501482486725,-0.19486266374588013
-0.40820401906967163,-0.2129926234483719,-0.32946667075157166,-0.14816978573799133
0.014589965343475342,-0.2567233443260193,-0.21857760846614838,-0.12904973328113556
0.1381087303161621,-0.32599762082099915,-0.11199796199798584,-0.06163462996482849
1.4243296384811401,-0.24651174247264862,-0.24411095678806305,-0.11482389271259308
0.6084739565849304,-0.2943401336669922,-0.11708509176969528,-0.06319054961204529
0.3628586530685425,-0.19670434296131134,-0.39208710193634033,-0.16973073780536652
0.5693060159683228,-0.24540932476520538,-0.2547418475151062,-0.11956792324781418
-0.15489423274993896,-0.24527788162231445,-0.2688748836517334,-0.12915821373462677
-0.4980074167251587,-0.2605784237384796,-0.20771217346191406,-0.08373023569583893
0.8889890909194946,-0.25993332266807556,-0.2702735364437103,-0.1364983767271042
0.9986279010772705,-0.30339768528938293,-0.13678191602230072,-0.07675895094871521
-0.32260656356811523,-0.24806301295757294,-0.2714727818965912,-0.14128614962100983
-0.38190150260925293,-0.17649047076702118,-0.4160115420818329,-0.18077300488948822
-0.6680880784988403,-0.22927072644233704,0.7358174324035645,-0.1273624151945114
-0.40930190682411194,-0.2848028540611267,0.7713173627853394,-0.14139340817928314
-0.5733135342597961,0.731215238571167,-0.17922963201999664,-0.09229541569948196
-0.6155321002006531,0.7029760479927063,-0.11319512873888016,-0.05505678430199623
-0.3923133313655853,-0.2963084280490875,-0.2003142535686493,-0.1067318543791771
0.3663422465324402,-0.2759103775024414,-0.26257288455963135,-0.14570310711860657
-0.7522222995758057,0.7388339042663574,-0.15915553271770477,-0.06725268810987473
-0.11659443378448486,0.8038504123687744,-0.34867778420448303,-0.16200828552246094
-0.34655696153640747,0.8192155361175537,-0.3795396387577057,-0.18637365102767944
-0.8107224702835083,-0.24210470914840698,-0.18590472638607025,-0.08544290065765381
1.8621087074279785,-0.29829296469688416,-0.17071519792079926,-0.10310298949480057
-0.43871307373046875,-0.2097785770893097,-0.29391252994537354,-0.12172600626945496
0.05154174566268921,-0.29532989859580994,-0.10620035231113434,-0.059809863567352295
0.02158033847808838,-0.27118271589279175,-0.19970600306987762,-0.09524363279342651
-0.7168002724647522,0.7256150841712952,-0.22110961377620697,-0.12017527222633362
-0.2644164264202118,0.7257257699966431,-0.21971610188484192,-0.12809444963932037
-0.7106514573097229,0.7291336059570312,-0.12630829215049744,-0.06805503368377686
-0.7057697176933289,-0.21665875613689423,0.652918815612793,-0.19320376217365265
0.08523869514465332,-0.2602047622203827,0.7660850286483765,-0.13434132933616638
0.29026728868484497,-0.2272251695394516,0.719658613204956,-0.12723277509212494
-0.9391067624092102,-0.29763472080230713,-0.11969178169965744,-0.06506386399269104
-0.1896052360534668,-0.29208263754844666,-0.205056831240654,-0.12440375983715057
0.12772828340530396,-0.1846988946199417,-0.3587217628955841,-0.17394666373729706
0.651084303855896,-0.2124299556016922,0.7026621103286743,-0.1345558762550354
1.3104267120361328,-0.24725978076457977,0.790785551071167,-0.11172303557395935
1.103445053100586,-0.22900134325027466,0.7265305519104004,-0.13209891319274902
-0.3522230386734009,-0.2919562757015228,-0.10443103313446045,-0.06384735554456711
0.20803654193878174,-0.2261994630098343,-0.2967900335788727,-0.13004907965660095
-0.6286332607269287,-0.26238903403282166,-0.253172367811203,-0.1297922283411026
-0.4377070665359497,-0.2587750554084778,0.7908048629760742,-0.11602044105529785
0.38401442766189575,-0.22888785600662231,0.75907963514328,-0.14155520498752594
0.6138193607330322,-0.22675468027591705,0.7492396831512451,-0.11210956424474716
-0.4210045337677002,-0.16314472258090973,0.6177504062652588,-0.263064980506897
-0.36193013191223145,-0.168318510055542,0.5981670618057251,-0.23187041282653809
-0.46259093284606934,-0.16817283630371094,0.5694231390953064,-0.2099824696779251
-0.17205274105072021,-0.17418107390403748,0.5942126512527466,-0.20733046531677246
0.22319316864013672,-0.1908382624387741,0.6224451065063477,-0.23080004751682281
-0.1018834114074707,-0.19909889996051788,0.6599835157394409,-0.2300901710987091
-0.41898298263549805,-0.17307446897029877,0.6245952844619751,-0.25171324610710144
-0.4741544723510742,-0.1782131940126419,0.5875391960144043,-0.2272300273180008
-0.4023655652999878,-0.16111227869987488,0.5720247626304626,-0.22072207927703857
-0.5618592500686646,-0.31609299778938293,0.8130855560302734,-0.11161767691373825
-0.08926178514957428,-0.21652886271476746,-0.3253017067909241,0.7474575042724609
-0.5903546214103699,-0.20337456464767456,-0.371376097202301,0.7681095600128174
1.2297905683517456,0.7887985706329346,-0.31255844235420227,-0.23324662446975708
0.03046305477619171,0.6762337684631348,-0.12422593683004379,-0.08024503290653229
1.0331166982650757,0.7264049053192139,-0.22524848580360413,-0.12870392203330994
-0.8686271905899048,0.8282692432403564,-0.38493913412094116,-0.2515968382358551
0.523807942867279,0.8101999759674072,-0.3450257480144501,-0.24356259405612946
-0.14675235748291016,-0.16841422021389008,-0.4088224768638611,0.7732518315315247
-0.16127192974090576,-0.20013141632080078,-0.38716867566108704,0.8000020384788513
-0.2617166042327881,0.7990657091140747,-0.3461827337741852,-0.25164923071861267
-0.9797194004058838,-0.21508349478244781,-0.358767032623291,-0.2279319316148758
-0.38576602935791016,-0.3361682891845703,-0.13963258266448975,-0.09267064183950424
0.15749210119247437,0.8094303011894226,-0.35865500569343567,-0.24742065370082855
